time,value
162,89.9772
163,91.1662
164,89.3331
165,87.9295
166,87.5148
167,87.3562
168,88.0218
169,87.4102
170,87.2244
171,86.4201
172,87.9501
173,86.868
174,87.2431
175,87.3301
176,88.6483
177,88.5802
178,89.5051
179,89.8043
180,89.2078
181,88.0325
182,88.3235
183,88.2976
184,88.9123
185,87.8826
186,88.3674
187,88.4216
188,89.0855
189,88.4875
190,88.6023
191,88.2621
192,88.3192
193,88.9247
194,88.6584
195,87.8729
196,89.4382
197,89.7063
198,88.4353
199,87.7012
200,87.7515
201,88.3175
202,89.3262
203,90.0073
204,90.036
205,88.8302
206,88.5444
207,88.3069
208,89.3637
209,90.1113
210,92.5325
211,91.6429
212,91.603
213,90.6328
214,92.0301
215,92.6326
216,93.7041
217,94.6483
218,94.343
219,95.6526
220,94.5125
221,94.1626
222,94.1397
223,96.4392
224,97.6577
225,98.4658
226,98.6689
227,98.8096
228,100
229,101.276
230,100.88
231,100.107
232,101.837
233,101.302
234,99.9863
235,99.8136
236,100.248
237,99.8499
238,99.2547
239,97.2477
240,97.3005
241,95.0542
242,95.0163
243,94.925
244,92.7567
245,91.3403
246,90.4608
247,90.7971
248,89.8992
249,91.9527
250,92.4292
251,92.7042
252,92.9082
253,92.8632
254,92.881
255,93.4115
256,92.7297
257,94.6642
258,94.4422
259,94.6583
260,93.8377
261,93.4869
262,93.89
263,93.6205
264,93.4849
265,92.3971
266,92.6576
267,91.4414
268,91.2844
269,90.3567
270,91.0726
271,91.5847
272,91.7857
273,92.0735
274,91.6958
275,93.2701
276,93.1373
277,93.445
278,94.0198
279,92.5648
280,92.5986
281,92.1235
282,90.953
283,90.5099
284,91.1258
285,90.9298
286,91.0459
287,91.9177
288,92.2084
289,92.5701
290,92.702
291,92.1317
292,91.9679
293,90.0625
294,90.3167
295,90.9937
296,88.7377
297,89.0464
298,88.2673
299,85.8916
300,86.2833
301,86.315
302,84.9349
303,84.465
304,84.4854
305,83.0044
306,82.3411
307,82.3201
308,81.7719
309,80.8149
310,81.3785
311,80.8401
312,80.9709
313,79.9517
314,79.5287
315,78.9078
316,79.0295
317,78.6169
318,77.9929
319,77.6011
320,76.6791
321,75.7636
322,74.3951
323,74.4528
324,73.0269
325,71.9331
326,71.1657
327,71.59
328,72.1079
329,71.7641
330,70.8529
331,70.1467
332,69.7386
333,69.8914
334,69.4892
335,68.4437
336,67.7564
337,68.0529
338,67.0069
339,65.8695
340,65.9174
341,65.9021
342,66.6768
343,66.2264
344,65.2947
345,64.9105
346,63.9829
347,63.9208
348,62.7259
349,62.9149
350,62.3077
351,62.5554
352,61.8342
353,61.5292
354,61.5702
355,61.8454
356,62.3111
357,62.1943
358,63.0003
359,63.5438
360,64.2352
361,63.8936
362,62.232
363,62.7617
364,63.3313
365,62.0532
366,61.8955
367,61.4672
368,62.1403
369,61.2321
370,61.7763
371,60.099
372,60.0951
373,59.7997
374,60.1238
375,60.5466
376,60.9385
377,60.4544
378,60.2092
379,60.8042
380,61.0927
381,62.4932
382,61.825
383,61.9655
384,61.6647
385,61.2505
386,60.6687
387,60.514
388,60.4135
389,59.5288
390,59.3806
391,59.5505
392,59.6975
393,59.8507
394,59.8879
395,60.6585
396,60.8303
397,61.4106
398,61.949
399,61.9459
400,62.0239
401,62.3197
402,62.6468
403,62.5167
404,62.1016
405,61.5283
406,60.6088
407,60.2616
408,59.8626
409,59.6579
410,59.529
411,59.0122
412,58.8568
413,57.8156
414,57.6793
415,56.5819
416,56.1577
417,56.1322
418,56.2968
419,55.7602
420,55.5553
421,54.8811
422,55.1272
423,55.6622
424,55.1228
425,55.1267
426,55.9513
427,55.7535
428,55.5039
429,55.3966
430,55.2299
431,54.4952
432,54.1244
433,53.6885
434,53.2761
435,53.5375
436,54.033
437,53.93
438,53.7234
439,53.8795
440,53.9419
441,53.17
442,52.2861
443,52.6406
444,52.6029
445,51.3175
446,50.7628
447,51.3304
448,51.2415
449,50.0588
450,50.0696
451,50.961
452,50.626
453,50.4086
454,49.9511
455,49.862
456,48.8997
457,48.5265
458,48.8004
459,48.9179
460,48.9587
461,49.6971
462,50.4865
463,49.9624
464,50.4605
465,50.5433
466,50.0899
467,50.214
468,50.5712
469,50.4341
470,49.9544
471,50.2691
472,50.9681
473,51.2319
474,50.7612
475,50.6863
476,51.1111
477,50.605
478,49.9542
479,49.4277
480,49.4972
481,49.5809
482,49.8842
483,50.3189
484,50.0504
485,50.3856
486,50.119
487,50.253
488,49.756
489,48.7737
490,49.9065
491,49.8554
492,49.8225
493,49.5844
494,49.9015
495,50.3706
496,50.1683
497,49.5045
498,48.9157
499,47.9777
500,47.6434
501,47.0867
502,47.7847
503,48.3537
504,48.1888
505,47.6493
506,47.9034
507,48.1183
508,49.1811
509,49.9055
510,49.283
511,48.906
512,47.9528
513,47.5134
514,47.4312
515,47.5814
516,47.9956
517,47.6234
518,47.5916
519,47.2745
520,46.9257
521,46.9509
522,46.6512
523,45.8698
524,45.7032
525,46.0804
526,45.89
527,45.7067
528,45.2854
529,45.3893
530,45.8675
531,45.3177
532,45.2471
533,44.9875
534,45.3668
535,45.4856
536,44.8859
537,44.7706
538,45.096
539,45.7227
540,45.8306
541,45.1821
542,45.1714
543,45.2956
544,45.2081
545,45.388
546,46.1553
547,46.1869
548,45.9437
549,45.6467
550,45.4143
551,45.4738
552,45.3284
553,45.3163
554,45.4413
555,45.466
556,45.6025
557,45.2258
558,45.5157
559,44.9159
560,44.8817
561,44.4947
562,44.1876
563,43.8239
564,43.9181
565,44.3218
566,44.0745
567,44.0748
568,44.4935
569,44.7603
570,44.4833
571,43.8559
572,44.4034
573,43.8367
574,43.2898
575,41.8306
576,41.644
577,41.5413
578,41.8403
579,41.9823
580,41.7833
581,42.5129
582,42.5593
583,41.5375
584,41.3313
585,41.1858
586,41.896
587,41.9776
588,41.7894
589,41.8217
590,40.6369
591,40.3366
592,40.3448
593,40.1951
594,39.7584
595,38.7789
596,38.5983
597,38.8435
598,38.7131
599,39.1196
600,39.3608
601,38.8344
602,38.8453
603,38.86
604,38.9084
605,39.1851
606,39.3319
607,38.8302
608,38.47
609,38.2878
610,38.7223
611,38.7869
612,39.288
613,39.0357
614,39.0541
615,39.4398
616,40.3278
617,39.8408
618,40.1133
619,39.8692
620,39.8268
621,40.2748
622,40.4198
623,40.1206
624,40.4296
625,39.9231
626,40.9842
627,41.5737
628,41.7077
629,41.5163
630,41.7015
631,41.2235
632,40.5459
633,40.6355
634,39.6288
635,40.4011
636,40.2912
637,40.3716
638,40.8651
639,41.418
640,40.9467
641,41.1818
642,41.0629
643,40.7484
644,40.0976
645,39.6024
646,39.9154
647,39.5005
648,39.2463
649,39.8335
650,39.5624
651,40.1237
652,40.6914
653,40.7409
654,40.8799
655,40.865
656,40.9406
657,41.0848
658,41.0579
659,41.0313
660,41.1124
661,41.0654
662,41.5665
663,42.5424
664,42.7485
665,42.572
666,43.0719
667,43.3997
668,43.0462
669,43.2143
670,42.7486
671,42.8705
672,42.7386
673,43.3533
674,42.6079
675,42.5913
676,42.7157
677,42.1313
678,42.6155
679,43.0102
680,42.7073
681,42.1473
682,42.7871
683,42.235
684,42.2761
685,42.0547
686,41.4162
687,41.848
688,42.2901
689,42.365
690,42.2454
691,42.3443
692,42.1837
693,42.4376
694,42.1657
695,42.1049
696,41.4908
697,41.2094
698,40.5264
699,40.5643
700,40.0395
701,40.0498
702,40.1203
703,39.9303
704,40.6492
705,40.9452
706,41.107
707,41.4228
708,41.1411
709,42.331
710,42.2083
711,42.6474
712,42.5879
713,41.8272
714,41.7543
715,41.8886
716,42.5161
717,42.0295
718,41.2549
719,40.7918
720,40.6702
721,41.062
722,41.0443
723,40.7343
724,40.5747
725,39.7677
726,40.5389
727,41.3149
728,41.1227
729,40.5603
730,40.7102
731,41.0215
732,41.0952
733,40.9972
734,40.6051
735,41.4719
736,40.7511
737,40.8434
738,40.4872
739,41.0707
740,40.9638
741,40.9981
742,40.3257
743,40.2341
744,40.0002
745,39.8553
746,39.9729
747,39.7659
748,39.4831
749,39.3094
750,39.0208
751,38.9923
752,38.4424
753,39.0861
754,38.9751
755,38.9915
756,39.0033
757,39.0785
758,38.2511
759,37.5627
760,37.9315
761,38.4806
762,38.4426
763,38.023
764,37.8293
765,37.3815
766,37.6863
767,38.198
768,38.6773
769,38.2756
770,37.7602
771,37.9272
772,37.7717
773,37.9112
774,38.3607
775,38.4037
776,38.5437
777,38.7517
778,37.9838
779,38.1486
780,38.0445
781,38.5145
782,37.9402
783,38.2108
784,37.8025
785,37.7688
786,37.8519
787,37.7473
788,37.8449
789,38.0979
790,38.5126
791,39.3069
792,40.199
793,40.1858
794,41.0334
795,40.553
796,40.5792
797,41.1317
798,41.5262
799,41.8036
800,41.5751
801,42.2735
802,41.8272
803,41.8154
804,42.2893
805,42.2767
806,42.1995
807,42.5399
808,42.521
809,42.9012
810,42.434
811,42.0116
812,42.5209
813,42.7011
814,42.487
815,43.3658
816,43.2728
817,43.9023
818,44.5959
819,44.6243
820,43.9022
821,43.4957
822,43.448
823,43.5513
824,43.4759
825,43.5598
826,43.7351
827,44.5487
828,44.9998
829,46.2993
830,46.6934
831,47.2835
832,47.9084
833,48.3511
834,49.3294
835,49.1534
836,49.9588
837,50.8348
838,51.1109
839,50.2929
840,50.7764
841,50.5206
842,51.7466
843,51.7576
844,52.1152
845,51.8696
846,52.8771
847,54.1602
848,53.4187
849,53.5347
850,53.6448
851,53.2749
852,53.3481
853,53.3428
854,54.2945
855,55.1049
856,54.9034
857,54.5474
858,55.0879
859,54.987
860,53.5108
861,54.1096
862,54.7423
863,54.4533
864,54.5614
865,55.7547
866,56.4473
867,55.8649
868,55.6696
869,56.0095
870,57.2467
871,57.5953
872,57.5815
873,55.4321
874,56.1473
875,57.9032
876,57.0905
877,57.1857
878,56.9364
879,57.9498
880,57.7212
881,57.3491
882,57.7119
883,58.0247
884,59.2064
885,58.3677
886,58.3067
887,58.2582
888,57.3952
889,57.0745
890,56.0239
891,56.8037
892,56.7598
893,55.9774
894,55.9631
895,55.3236
896,54.5174
897,54.8048
898,54.583
899,53.4117
900,54.0202
901,54.1407
902,54.0546
903,54.9069
904,54.1924
905,54.0124
906,54.4045
907,55.4193
908,55.3926
909,55.329
910,55.2754
911,54.8236
912,55.2641
913,54.5922
914,54.8116
915,54.2456
916,54.1816
917,53.7457
918,53.201
919,52.9848
920,53.0075
921,52.6129
922,53.0263
923,52.4917
924,51.4578
925,51.5046
926,52.2959
927,53.0878
928,52.2758
929,52.5948
930,52.0422
931,51.2379
932,50.2394
933,49.9023
934,50.8578
935,50.5222
936,50.3912
937,50.3962
938,50.6571
939,49.8237
940,49.6636
941,49.5502
942,48.7051
943,49.3637
944,48.8929
945,48.6277
946,48.7496
947,48.0892
948,49.3451
949,49.9221
950,50.0418
951,49.4354
952,49.1684
953,48.8408
954,48.452
955,48.964
956,48.9673
957,49.2095
958,48.9871
959,48.8099
960,48.1261
961,47.3479
962,47.9146
963,48.6326
964,48.8053
965,49.1849
966,49.6606
967,49.4136
968,49.2992
969,48.8782
970,48.7674
971,48.9665
972,49.851
973,49.1942
974,49.804
975,50.3849
976,51.0419
977,51.0903
978,51.8276
979,52.3259
980,51.813
981,51.0299
982,49.6956
983,50.8019
984,51.0914
985,52.3696
986,53.0719
987,52.4838
988,53.2304
989,54.123
990,53.8893
991,53.7614
992,55.3294
993,54.8101
994,54.8196
995,55.5037
996,54.4686
997,54.0742
998,53.8789
999,54.9104
1000,54.3544
1001,54.7508
1002,55.4186
1003,55.217
1004,54.828
1005,54.2192
1006,53.7383
1007,54.2767
1008,52.9083
1009,52.5196
1010,52.8118
1011,52.349
1012,51.2959
1013,51.4869
1014,52.1652
1015,51.8996
1016,51.9007
1017,51.1079
1018,50.8349
1019,51.1113
1020,51.9309
1021,51.2894
1022,51.4077
1023,50.7701
1024,52.0392
1025,51.8682
1026,51.9472
1027,51.5206
1028,51.5196
1029,51.4804
1030,52.5399
1031,53.1489
1032,53.259
1033,54.6552
1034,54.6916
1035,54.4817
1036,54.9757
1037,54.7798
1038,54.5345
1039,54.1682
1040,53.9479
1041,54.047
1042,53.8845
1043,53.8804
1044,54.3349
1045,54.8328
1046,55.3508
1047,55.2297
1048,55.4681
1049,55.6116
1050,55.4529
1051,55.9325
1052,56.7748
1053,56.7906
1054,56.8987
1055,57.3735
1056,57.0228
1057,58.2138
1058,58.5529
1059,58.802
1060,58.458
1061,59.2516
1062,59.1724
1063,59.5483
1064,59.7163
1065,60.2474
1066,61.2827
1067,61.0205
1068,60.8165
1069,60.3838
1070,60.392
1071,61.4141
1072,61.3724
1073,61.5351
1074,60.1045
1075,61.3772
1076,60.7596
1077,61.3926
1078,61.6845
1079,61.1769
1080,61.8736
1081,61.9206
1082,61.621
1083,61.6165
1084,62.9898
1085,62.8851
1086,64.6271
1087,65.3023
1088,65.0555
1089,64.1254
1090,64.644
1091,64.4796
1092,64.0496
1093,64.4385
1094,65.0099
1095,65.3025
1096,65.2901
1097,65.8383
1098,66.8751
1099,68.1449
1100,68.8909
1101,67.4984
1102,67.5769
1103,67.3698
1104,65.6938
1105,65.5
1106,65.3159
1107,65.3906
1108,65.2281
1109,65.3717
1110,66.0502
1111,65.9782
1112,66.1408
1113,67.2067
1114,67.6582
1115,68.1151
1116,68.4954
1117,68.4529
1118,68.9601
1119,69.4966
1120,68.7174
1121,69.9228
1122,70.0395
1123,70.5902
1124,69.5097
1125,69.1648
1126,68.9053
1127,69.7487
1128,69.6903
1129,69.9758
1130,70.3662
1131,70.0823
1132,70.448
1133,70.4813
1134,70.6096
1135,71.411
1136,71.2088
1137,72.1456
1138,70.53
1139,71.1644
1140,72.6288
1141,72.8194
1142,73.6861
1143,74.0609
1144,74.0792
1145,73.9369
1146,74.4326
1147,73.2902
1148,73.7712
1149,73.6077
1150,73.3328
1151,73.2158
1152,73.3987
1153,73.4116
1154,73.2361
1155,73.1153
1156,73.9327
1157,72.9123
1158,72.4907
1159,74.0305
1160,73.7242
1161,74.3492
1162,74.8158
1163,74.8501
1164,75.2463
1165,75.4142
1166,74.5262
1167,73.8637
1168,75.9118
1169,76.296
1170,76.7494
1171,74.6077
1172,74.6359
1173,74.504
1174,76.3226
1175,75.6466
1176,74.7507
1177,75.9329
1178,75.5264
1179,74.9128
1180,75.0794
1181,75.5798
1182,76.5105
1183,77.3114
1184,77.5658
1185,78.7761
1186,78.301
1187,78.5606
1188,79.6348
1189,79.5752
1190,79.7847
1191,79.3524
1192,79.0984
1193,79.4242
1194,79.6306
1195,78.8975
1196,79.7089
1197,79.3009
1198,79.2645
1199,78.3312
1200,78.3641
1201,76.6833
1202,77.2563
1203,77.764
1204,77.9275
1205,77.4502
1206,77.3201
1207,77.1533
1208,77.8157
1209,76.9176
1210,78.1465
1211,78.5887
1212,79.1759
1213,78.615
1214,77.114
1215,76.1475
1216,76.3895
1217,76.2241
1218,75.3037
1219,75.5202
1220,75.2252
1221,74.8995
1222,74.6609
1223,74.926
1224,74.1835
1225,73.7588
1226,73.2089
1227,72.246
1228,72.4382
1229,72.2343
1230,72.5597
1231,74.3249
1232,75.511
1233,77.323
1234,78.9431
1235,79.9719
1236,80.8118
1237,82.4693
1238,82.85
1239,84.9337
1240,84.4299
1241,86.4392
1242,86.7766
1243,86.5574
1244,86.7726
1245,86.4863
1246,85.6782
1247,86.9124
1248,86.3392
1249,86.6186
1250,87.4966
1251,87.7656
1252,86.1896
1253,86.0526
1254,85.3735
1255,85.1823
1256,85.8448
1257,85.9607
1258,86.4363
1259,87.2908
1260,88.4919
1261,88.9829
1262,89.4833
1263,87.7327
1264,88.1545
1265,88.2823
1266,89.2878
1267,91.0358
1268,91.2
1269,90.4273
1270,90.5443
1271,89.7979
1272,88.1071
1273,89.1634
1274,89.6504
1275,90.9807
1276,91.9707
1277,93.3822
1278,93.1925
1279,93.3444
1280,94.1038
1281,94.3427
1282,94.3551
1283,94.7459
1284,94.2356
1285,96.6301
1286,95.4322
1287,94.1901
1288,94.5551
1289,95.8017
1290,95.9137
1291,97.286
1292,99.368
1293,100.235
1294,102.021
1295,101.695
1296,104.098
1297,104.145
1298,105.664
1299,105.732
1300,106.087
1301,107.424
1302,108.154
1303,108.697
1304,109.943
1305,111.695
1306,112.579
1307,113.011
1308,113.007
1309,113.416
1310,114.387
1311,115.624
1312,115.374
1313,115.433
1314,116.435
1315,116.258
1316,117.317
1317,116.94
1318,119.192
1319,116.717
1320,119.59
1321,119.307
1322,118.123
1323,118.705
1324,118.888
1325,119.338
1326,118.632
1327,118.984
1328,118.946
1329,119.664
1330,121.031
1331,120.65
1332,121.668
1333,121.96
1334,121.746
1335,123.549
1336,126.275
1337,127.29
1338,127.809
1339,129.821
1340,129.906
1341,129.436
1342,129.295
1343,128.747
1344,127.592
1345,127.319
1346,126.523
1347,126.253
1348,128.338
1349,130.054
1350,129.525
1351,129.852
1352,131.794
1353,130.806
1354,129.119
1355,127.569
1356,126.703
1357,126.914
1358,125.957
1359,126.117
1360,127.075
1361,128.089
1362,127.571
1363,126.859
1364,126.599
1365,126.987
1366,126.369
1367,122.481
1368,123.061
1369,122.875
1370,122.147
1371,122.542
1372,123.265
1373,126.979
1374,126.474
1375,127.156
1376,126.549
1377,127.398
1378,129.611
1379,128.677
1380,129.177
1381,131.248
1382,131.275
1383,130.68
1384,132.023
1385,130.29
1386,129.782
1387,128.427
1388,126.394
1389,126.299
1390,126.395
1391,127.271
1392,127.437
1393,126.332
1394,125.397
1395,124.921
1396,123.905
1397,125.536
1398,126.192
1399,126.382
1400,125.839
1401,125.576
1402,125.335
1403,124.056
1404,122.823
1405,122.349
1406,123.928
1407,124.635
1408,125.165
1409,125.681
1410,127.923
1411,130.72
1412,129.168
1413,128.226
1414,128.597
1415,128.541
1416,128.395
1417,128.459
1418,127.626
1419,127.949
1420,127.626
1421,127.115
1422,126.143
1423,125.114
1424,126.072
1425,123.217
1426,125.582
1427,126.284
1428,126.845
1429,126.465
1430,126.229
1431,127.875
1432,126.324
1433,127.489
1434,127.622
1435,128.589
1436,128.807
1437,130.404
1438,131.124
1439,131.576
1440,131.777
1441,133.092
1442,132.711
1443,132.424
1444,132.81
1445,132.885
1446,134.036
1447,134.027
1448,135.272
1449,134.928
1450,136.369
1451,135.308
1452,136.22
1453,136.36
1454,134.815
1455,134.903
1456,136.037
1457,136.255
1458,137.077
1459,137.069
1460,136.924
1461,137.67
1462,138.681
1463,138.562
1464,139.512
1465,141.115
1466,138.46
1467,138.15
1468,139.275
1469,142.397
1470,139.571
1471,139.213
1472,137.956
1473,137.841
1474,137.155
1475,136.964
1476,138.015
1477,138.551
1478,136.852
1479,140.023
1480,141.213
1481,140.982
1482,138.792
1483,140.759
1484,142.582
1485,145.861
1486,146.83
1487,148.429
1488,147.064
1489,148.537
1490,147.308
1491,146.804
1492,147.096
1493,147.378
1494,145.779
1495,147.254
1496,147.579
1497,145.491
1498,145.524
1499,144.883
1500,144.668
1501,145.847
1502,144.239
1503,146.242
1504,148.242
1505,150.805
1506,151.569
1507,153.387
1508,152.83
1509,152.153
1510,155.11
1511,155.304
1512,155.332
1513,157.326
1514,156.861
1515,157.637
1516,158.669
1517,158.77
1518,159.47
1519,162.893
1520,165.206
1521,164.931
1522,166.211
1523,166.383
1524,166.586
1525,166.094
1526,164.118
1527,164.767
1528,165.289
1529,165.761
1530,162.017
1531,162.486
1532,160.82
1533,156.75
1534,155.431
1535,155.728
1536,157.385
1537,159.226
1538,159.616
1539,158.788
1540,160.245
1541,160.063
1542,159.891
1543,160.313
1544,161.251
1545,163.943
1546,162.263
1547,161.438
1548,160.713
1549,159.535
1550,157.811
1551,155.37
1552,155.808
1553,156.345
1554,154.678
1555,153.293
1556,157.124
1557,157.215
1558,156.26
1559,155.798
1560,155.835
1561,153.818
1562,153.782
1563,154.467
1564,155.297
1565,155.704
1566,153.761
1567,151.545
1568,151.512
1569,150.912
1570,150.865
1571,152.527
1572,153.157
1573,151.776
1574,151.542
1575,151.436
1576,152.74
1577,152.257
1578,152.64
1579,152.707
1580,152.673
1581,154.141
1582,154.985
1583,155.75
1584,159.003
1585,159.429
1586,160.872
1587,164.472
1588,166.322
1589,168.068
1590,164.266
1591,167.685
1592,166.532
1593,163.597
1594,163.381
1595,161.797
1596,164.02
1597,163.561
1598,162.614
1599,164.273
1600,162.763
1601,164.918
1602,162.904
1603,159.42
1604,160.943
1605,163.195
1606,161.303
1607,157.464
1608,158.504
1609,158.401
1610,156.536
1611,157.655
1612,156.931
1613,155.834
1614,159.293
1615,159.878
1616,160.077
1617,159.639
1618,159.339
1619,158.033
1620,159.298
1621,157.754
1622,156.876
1623,159.114
1624,159.703
1625,160.549
1626,160.895
1627,159.545
1628,159.051
1629,159.304
1630,159.327
1631,158.549
1632,159.722
1633,159.527
1634,159.674
1635,156.656
1636,157.904
1637,155.628
1638,156.557
1639,157.527
1640,158.837
1641,158.969
1642,158.086
1643,157.93
1644,158.11
1645,158.819
1646,159.854
1647,157.718
1648,157.715
1649,158.437
1650,158.226
1651,157.629
1652,154.688
1653,154.294
1654,153.257
1655,151.859
1656,152.926
1657,152.361
1658,152.129
1659,153.457
1660,155.627
1661,155.821
1662,155.16
1663,152.984
1664,153.719
1665,154.364
1666,154.472
1667,156.465
1668,157.188
1669,159.331
1670,156.066
1671,154.906
1672,155.004
1673,155.186
1674,156.037
1675,157.549
1676,160.011
1677,162.478
1678,163.865
1679,163.622
1680,164.067
1681,165.195
1682,164.123
1683,163.161
1684,163.834
1685,163.255
1686,163.422
1687,162.851
1688,164.634
1689,164.979
1690,164.898
1691,164.195
1692,163.651
1693,161.755
1694,163.749
1695,164.812
1696,164.686
1697,166.039
1698,167.577
1699,167.413
1700,167.597
1701,166.426
1702,167.072
1703,168.027
1704,167.138
1705,169.459
1706,169.392
1707,171.475
1708,171.17
1709,175.417
1710,177.987
1711,179.302
1712,182.283
1713,182.254
1714,181.232
1715,181.453
1716,179.594
1717,180.521
1718,180.929
1719,180.429
1720,178.661
1721,179.184
1722,180.476
1723,179.129
1724,179.771
1725,181.267
1726,185.255
1727,186.43
1728,187.051
1729,189.066
1730,189.185
1731,188.087
1732,190.723
1733,191.766
1734,189.184
1735,190.425
1736,192.908
1737,195.527
1738,194.042
1739,197.388
1740,195.631
1741,197.539
1742,200.103
1743,200.695
1744,198.907
1745,199.967
1746,203.355
1747,202.851
1748,203.533
1749,205.588
1750,201.744
1751,201.991
1752,204.668
1753,206.013
1754,204.003
1755,206.051
1756,208.913
1757,211.959
1758,217.319
1759,217.322
1760,217.355
1761,217.704
1762,216.537
1763,216.936
1764,215.016
1765,213.643
1766,215.883
1767,215.368
1768,212.856
1769,217.6
1770,216.324
1771,216.742
1772,218.466
1773,219.898
1774,219.495
1775,221.851
1776,218.12
1777,218.947
1778,221.646
1779,220.342
1780,220.501
1781,222.771
1782,219.201
1783,218.867
1784,215.14
1785,213.258
1786,212.072
1787,214.985
1788,216.212
1789,217.272
1790,212.974
1791,215.341
1792,217.308
1793,222.679
1794,220.462
1795,218.722
1796,222.771
1797,221.558
1798,221.819
1799,223.589
1800,225.5
1801,227.405
1802,225.145
1803,222.686
1804,223.905
1805,227.47
1806,226.346
1807,225.66
1808,224.341
1809,220.533
1810,217.074
1811,214.656
1812,216.142
1813,216.35
1814,211.203
1815,212.407
1816,214.77
1817,214.833
1818,213.646
1819,212.252
1820,213.363
1821,214.398
1822,212.592
1823,213.494
1824,214.245
1825,214.275
1826,213.133
1827,214.459
1828,216.326
1829,212.68
1830,209.931
1831,209.981
1832,206.765
1833,209.084
1834,212.836
1835,213.774
1836,207.8
1837,204.889
1838,206.292
1839,205.207
1840,207.296
1841,208.156
1842,214.024
1843,215.253
1844,215.219
1845,213.665
1846,214.366
1847,211.55
1848,212.352
1849,213.405
1850,211.782
1851,211.463
1852,210.824
1853,213.691
1854,213.281
1855,217.673
1856,213.237
1857,214.001
1858,214.637
1859,212.833
1860,212.373
1861,210.829
1862,208.068
1863,212.302
1864,211.714
1865,214.68
1866,212.479
1867,206.285
1868,204.528
1869,204.78
1870,205.646
1871,204.922
1872,202.66
1873,196.542
1874,200.289
1875,201.28
1876,196.706
1877,197.655
1878,196.749
1879,194.879
1880,196.201
1881,194.296
1882,198.229
1883,198.096
1884,197.193
1885,198.755
1886,198.638
1887,198.111
1888,196.861
1889,198.15
1890,197.493
1891,197.658
1892,197.962
1893,199.451
1894,196.038
1895,196.192
1896,197.708
1897,198.146
1898,197.881
1899,196.814
1900,196.58
1901,198.824
1902,198.18
1903,196.669
1904,195.632
1905,197.279
1906,197.082
1907,197.326
1908,203.841
1909,206.702
1910,207.599
1911,206.309
1912,205.177
1913,204.856
1914,206.076
1915,203.369
1916,200.056
1917,202.357
1918,206.983
1919,208.258
1920,211.061
1921,211.183
1922,211.809
1923,211.594
1924,208.183
1925,207.29
1926,204.282
1927,203.041
1928,205.061
1929,206.413
1930,206.937
1931,208.357
1932,207.676
1933,206.117
1934,207.97
1935,206.984
1936,205.304
1937,203.032
1938,203.182
1939,203.364
1940,201.058
1941,200.175
1942,199.112
1943,201.16
1944,203.679
1945,203.955
1946,208.662
1947,208.262
1948,208.084
1949,209.92
1950,212.135
1951,212.719
1952,213.032
1953,214.622
1954,212.664
1955,213.528
1956,219.136
1957,220.401
1958,221.504
1959,220.608
1960,221.274
1961,217.452
1962,219.206
1963,217.057
1964,216.443
1965,216.173
1966,216.009
1967,217.868
1968,217.514
1969,217.595
1970,219.98
1971,221.238
1972,221.282
1973,221.237
1974,225.057
1975,228.875
1976,233.054
1977,235.414
1978,231.719
1979,235.02
1980,237.93
1981,241.673
1982,240.352
1983,244.445
1984,241.411
1985,241.466
1986,240.653
1987,240.75
